address,lat,lon
"Республика Мордовия г. Саранск, ул. Серадзская, д. 26а",54.1717611209,45.1384180784
"Республика Мордовия г. Рузаевка, ул. Тухачевского, д. 10",54.035968106400006,44.9298763275
"Республика Мордовия г. Темников, ул. Коммунистическая, д. 17",54.6313255388,43.2017505169
"Республика Мордовия г. Рузаевка, ул. Карла Маркса, д. 15",54.0622278499,44.9553573132
"Республика Мордовия г. Саранск, ул. Щорса, д. 29",54.1752150883,45.1498281956
"Республика Мордовия г. Саранск, ул. Комарова, д. 7",54.168162408,45.148315429700006
"Республика Мордовия г. Саранск, ул. Серадзская, д. 21",54.1730768025,45.1341372728
"Республика Мордовия г. Рузаевка, ул. Ленина, д. 16",54.057668701400004,44.939821958500005
"Республика Саха (Якутия) г. Якутск, ул. Ярославского, 27",62.0264396667,129.73374939
"Республика Саха (Якутия) г. Якутск, ул. Ярославского, 21",62.027922357,129.74015057100002
"Республика Саха (Якутия) г. Якутск, ул. Дзержинского, 55",62.0571746826,129.74009704600002
"Республика Татарстан г. Нижнекамск, пр. Мира, 16",55.6533101624,51.810848440200004
"Республика Хакасия город Абакан, улица Хакасская, 165",53.717409258500005,91.42342150209998
"Республика Хакасия город Абакан, улица Чернышевского, 43",53.719685308,91.4166676998
"Республика Хакасия город Абакан, улица Тельмана, 93",53.7296134108,91.4351803064
"Республика Хакасия город Абакан, улица Хакасская, 68",53.7197964091,91.44182682040001
"Республика Хакасия город Абакан, улица Щетинкина, 13",53.7199329043,91.4438331127
"Республика Хакасия город Абакан, улица Пушкина, 72",53.7179266976,91.4464884996
"Республика Хакасия город Абакан, улица Лермонтова, 12",53.738527027299995,91.42528831959999
"Республика Хакасия город Абакан, проспект Ленина, 90",53.722459572700004,91.4416229725
"Республика Хакасия город Абакан, улица Советская, 175",53.7162219816,91.40540242200001
"Республика Хакасия город Абакан, улица Пушкина, 190",53.713831453500006,91.40505373479999
"Республика Хакасия город Абакан, улица Богдана Хмельницкого, 158",53.7257383018,91.4347994328
"Республика Хакасия город Абакан, улица Пирятинская, 26",53.7041123832,91.39790833
"Республика Хакасия город Абакан, улица Пирятинская, 8",53.70532540520001,91.4048016071
"Республика Хакасия город Абакан, улица Белоярская, 60",53.6962681775,91.4185988903
"Республика Хакасия город Абакан, улица Стофато, 18",53.7000126184,91.401180625
"Республика Хакасия город Абакан, улица Хлебная, 28",53.712266266499995,91.4359474182
"Республика Хакасия город Абакан, улица Вяткина, 8",53.719520243000005,91.4495193958
"Республика Хакасия город Абакан, улица Вяткина, 14",53.7245861734,91.4473521709
"Республика Хакасия город Абакан, проезд Весенний, 6",53.7378702322,91.4536499977
"Республика Хакасия город Абакан, улица Зелёная, 1",53.7319717407,91.4697036743
"Республика Хакасия город Абакан, проспект Ленина, 48",53.7247448707,91.4601945877
"Республика Хакасия город Абакан, улица Павших Коммунаров, 100",53.712405961,91.4616000652
"Республика Хакасия город Абакан, улица Пушкина, 30А",53.7201138391,91.46916389469999
"Республика Хакасия город Абакан, улица Зоотехническая, 6",53.682916963900006,91.3941371441
"Республика Хакасия город Абакан, улица Тельмана, 98Б",53.7304000854,91.42665863040001
"Республика Хакасия город Абакан, проспект Дружбы Народов, 21",53.7365883417,91.4295852184
"Республика Хакасия город Абакан, улица Комарова, 12",53.7408590429,91.43881738190001
"Республика Хакасия город Абакан, улица Комарова, 15",53.74116362310001,91.44060373309999
"Республика Хакасия город Абакан, улица Маршала Жукова, 10",53.721141815200006,91.46298980709999
"Республика Хакасия город Абакан, улица Павших Коммунаров, 52",53.7140731812,91.4722976685
"Республика Хакасия город Абакан, улица Островского, 24",53.713092804,91.4657974243
"Республика Хакасия город Абакан, проезд Северный, 11",53.7455607542,91.4315325022
"Республика Хакасия город Абакан, проспект Ленина, 23",53.7240116844,91.46629393100001
"Республика Хакасия город Абакан, улица Пушкина, 92",53.7173076747,91.4398151636
"Республика Хакасия город Абакан, улица Ивана Ярыгина, 28",53.7226627153,91.433672905
"Республика Хакасия город Абакан, улица Пушкина, 122",53.716209283299996,91.4288341999
"Республика Хакасия город Абакан, улица Пирятинская, 20",53.7029310822,91.4003384113
"Алтайский край г. Барнаул, ул. Солнечная Поляна, 51",53.358678204300006,83.6646501675
"Алтайский край г. Барнаул, ул. А. Петрова, 146г",53.3569488525,83.712638855
"Алтайский край г. Барнаул, ул. Энтузиастов, 26",53.35723236689999,83.6713027954
"Алтайский край г. Барнаул, ул. Г. Исакова, 195",53.3629963745,83.6971817017
"Алтайский край г. Барнаул, ул. А. Петрова, 218",53.362541552799996,83.6839395761
"Алтайский край г. Барнаул, ул. 50 лет СССР, 10",53.3496355036,83.68698656560001
"Алтайский край г. Барнаул, ул. Энтузиастов, 5",53.3541908264,83.688331604
"Алтайский край г. Барнаул, ул. Панфиловцев, 13",53.3517552967,83.67980360979999
"Алтайский край г. Барнаул, ул. Панфиловцев, 8",53.3518897815,83.6760646105
"Алтайский край г. Барнаул, ул. А. Петрова, 150",53.35956431939999,83.709307909
"Алтайский край г. Барнаул, ул. Шукшина, 30",53.366055761700004,83.6659927368
"Алтайский край г. Барнаул, ул. Солнечная Поляна, 11",53.3714154114,83.6660003662
"Алтайский край г. Барнаул, ул. Попова, 66",53.369894107700006,83.6723899841
"Алтайский край г. Барнаул, ул. Г. Исакова, 206",53.36528490520001,83.6994051933
"Алтайский край г. Барнаул, ул. Шукшина, 29",53.3632810269,83.6682915688
"Алтайский край г. Барнаул, ул. Энтузиастов, 95",53.357550567299995,83.6511254311
"Алтайский край г. Барнаул, ул. Юрина, 203",53.364379010200004,83.7142646313
"Алтайский край г. Барнаул, ул. Юрина, 196",53.37097591770001,83.6929142475
"Алтайский край г. Барнаул, ул. Юрина, 220",53.375268255600005,83.67390441890001
"Алтайский край г. Барнаул, ул. Гущина, 189",53.3777529846,83.6741638184
"Алтайский край г. Барнаул, ул. Гущина, 158",53.3796017517,83.6760101318
"Алтайский край г. Барнаул, ул.Эмилии Алексеевой, 56",53.3797990046,83.7168449163
"Алтайский край г. Барнаул, п. Научный Городок, 38",53.4226150513,83.5168457031
"Алтайский край г. Барнаул, ул. Чайковского, 21",53.2538468364,83.6945772171
"Алтайский край г. Барнаул, ул.Петра Сухова, 71",53.3760965389,83.7171453238
"Алтайский край г. Барнаул, пер. Ядринцева, 76",53.3354346557,83.76852035520001
"Алтайский край г. Барнаул, ул. Папанинцев, 115",53.338682628,83.76815557479999
"Алтайский край г. Барнаул, пр-кт Красноармейский, 62",53.3398805356,83.7756174803
"Алтайский край г. Барнаул, ул. Интернациональная, 80",53.33726046939999,83.7845009565
"Алтайский край г. Барнаул, ул. Пролетарская, 224",53.326836264799994,83.7544548512
"Алтайский край г. Барнаул, ул. Анатолия, 193",53.329703655500005,83.77105236050001
"Алтайский край г. Барнаул, ул. Кутузова, 18",53.316797277,83.7352770567
"Алтайский край г. Барнаул, ул. Аванесова, 134",53.3089291361,83.7745445967
"Алтайский край г. Барнаул, пр-кт Дзержинского, 27",53.2557640076,83.6872406006
"Алтайский край г. Барнаул, ул. Мусоргского, 38",53.2472355713,83.68417358399999
"Алтайский край г. Барнаул, ул. Чайковского, 31",53.252392965,83.689609766
"Алтайский край г. Барнаул, ул. Чайковского, 22",53.2538032532,83.6894607544
"Алтайский край г. Барнаул, ул. Гущина, 177",53.3748715271,83.6853485107
"Алтайский край г. Барнаул, пр-кт Ленина, 145",53.3672150694,83.7546157837
"Алтайский край г. Барнаул, Павловский тракт, 68",53.344124558100006,83.7046618932
"Алтайский край г. Барнаул, ул. Э. Алексеевой, 60",53.3797683716,83.706993103
"Алтайский край г. Барнаул, ул. Георгия Исакова, 120а",53.358523839300005,83.7287700176
"Алтайский край г. Барнаул, ул. Советской Армии, 54а",53.3482873629,83.7334316969
"Алтайский край г. Барнаул, пр-кт Комсомольский, 80",53.3439559937,83.791267395
"Алтайский край г. Барнаул, ул. Чкалова, 68",53.3412994041,83.78072977069999
"Алтайский край г. Барнаул, ул. Фомина, 130",53.3091022187,83.7652695179
"Алтайский край г. Барнаул, Б.Заимка, ул. Радужная, 97",53.2876731004,83.6443984509
"Алтайский край г. Барнаул, Змеиногорский тракт, 49",53.2966577112,83.763628006
"Алтайский край г. Барнаул, Змеиногорский тракт, 89",53.2740707426,83.74430000779999
"Алтайский край г. Барнаул, пр-кт Красноармейский, 133",53.345683825600005,83.76230299470001
"Алтайский край г. Барнаул, проезд Северный Власихинский, 64",53.3332798828,83.6719055176
